Id_bien,Id_codedep_codecommune,No_voie,B_T_Q,Type_de_voie,Voie,Code_postal,Code_type_local,Type_local,Nombre_pieces_principales,Surface_Carrez_du_1er_lot
18173,02408,1,,RUE,CONDORCET,2000,2,Appartement,5,89
30859,02680,16,,RUE,DE MONTEVIDEO,2410,2,Appartement,3,25
29401,04019,3,,RUE,TRAVERSIERE,4400,2,Appartement,1,16.81
18950,04088,10,,AV,MARCEL ANDRE,4300,2,Appartement,2,46.42
27806,04112,30,,BD,CHARLES DE GAULLE,4100,2,Appartement,2,53.81
07469,05061,44,,RTE,DE GRAFFINEL,5000,2,Appartement,3,59.9
04353,06004,38,,AV,DE DIANE,6600,2,Appartement,3,59.01
19263,06004,2,,BD,DUGOMMIER,6600,2,Appartement,2,58.89
14741,06012,29,,BD,DE LA TURBIE,6240,2,Appartement,1,35.28
11991,06023,5039,,,PIENE HAUTE,6540,2,Appartement,2,21.79
10009,06027,18,,AV,DES ORANGERS,6800,2,Appartement,5,99.14
34164,06083,90,,RTE,DE GORBIO,6500,2,Appartement,3,62.56
00293,06083,14,,PROM,MAL LECLERC HAUTECLOQUE,6500,2,Appartement,1,33.56
33282,06083,60,,AV,DES ACACIAS,6500,2,Appartement,2,22.89
22123,06083,72,B,AV,DES ALLIES,6500,2,Appartement,2,41.66
27876,06088,15,,RUE,DE BELGIQUE,6000,2,Appartement,1,14.35
10746,06088,26,,AV,DE LA BORNALA,6200,2,Appartement,4,75.37
24680,06088,59,,RTE,DE BELLET,6200,2,Appartement,1,27.01
03729,06088,234,,AV,DE LA LANTERNE,6200,2,Appartement,1,36.04
09974,06088,25,,AV,JOSEPH GIORDAN,6200,2,Appartement,1,20.41
33864,06113,15,,ALL,DU JARDIN,6500,1,Maison,4,83.55
26614,06120,5400,,BD,SAINT YSICIUS,6660,2,Appartement,1,20.41
22517,06120,32,,RUE,DROITE,6660,2,Appartement,2,44.06
15873,06161,9010,,MRN,BAIE DES ANGES BARONNET,6270,2,Appartement,3,35.24
01148,07331,52,,RUE,JEAN JAURES,7600,2,Appartement,2,32.2
11902,10081,30,T,RUE,VEUVE BENARD BODIE,10600,2,Appartement,4,62.07
26902,10387,13,,RUE,DES CORDELIERS,10000,2,Appartement,1,41.1
16717,10387,11,,RUE,TRAVERSIERE,10000,2,Appartement,2,33.81
33102,11145,85,,RES,PLEIN SOLEIL,11560,1,Maison,3,46.95
16315,11262,39,B,BD,DE 1848,11100,2,Appartement,1,20.11
18967,11262,126,,RES,EDEN ROC 2 PLAGE,11100,2,Appartement,2,54.33
17345,11262,2,,RUE,DES TRITONS  (PLAGE),11100,2,Appartement,2,35.02
17194,11262,13,,AV,DU LANGUEDOC  (PLAGE),11100,2,Appartement,2,26.76
28776,13212,5076,F,PARC,DESSUARD,13012,2,Appartement,3,67.33
07915,13212,7,,ALL,DE DIJON,13012,2,Appartement,3,54.72
25708,14338,21,B,RUE,DE LA VALLEE,14510,2,Appartement,1,24.4
33903,14701,5513,,,MONT CANISY,14800,2,Appartement,3,42.51
31614,14754,60,,AV,DE LA REPUBLIQUE,14640,2,Appartement,1,17.69
22661,14754,9006,,VC,RES SUPER DEAUVILLE,14640,2,Appartement,2,19.49
32322,17300,19,,RUE,FLEURIAU,17000,2,Appartement,1,22.89
05338,17300,75,,AV,ROBESPIERRE,17000,2,Appartement,4,90.22
25641,17369,3,,AV,VICTOR BOUTHILLIER,17410,2,Appartement,1,26.9
23833,22050,1,,RUE,LECONTE DE L ISLE,22100,2,Appartement,4,85.66
32160,22050,1,,RUE,SAINTE CLAIRE,22100,2,Appartement,3,72.13
24599,22143,5,,RUE,DU HEUME,22550,2,Appartement,2,39.61
03274,22278,5,,RUE,POHEL,22000,2,Appartement,3,67.25
17862,22278,25,B,RUE,CORDIERE,22000,2,Appartement,3,66.74
28550,22278,4,,RUE,LEQUYER,22000,2,Appartement,1,34.67
33468,22278,2,B,RUE,CHATEAUBRIAND,22000,2,Appartement,3,71.83
30011,22278,5,H,RUE,DU COLOMBIER,22000,2,Appartement,4,65.89
06247,25047,6,,RUE,DES BOULEAUX,25110,2,Appartement,4,80.25
26339,25056,14,,RUE,RONCHAUX,25000,2,Appartement,1,28.5
06161,25056,49,,AV,GEORGES CLEMENCEAU,25000,2,Appartement,5,127.16
27163,26058,3,,RUE,DCT CHARLES PONSOYE,26500,2,Appartement,4,86.04
14325,26198,7,,RUE,PAUL LOUBET,26200,2,Appartement,3,71.94
33629,26281,4,,RUE,PECHERIE,26100,2,Appartement,5,91.5
30491,26281,13,,RUE,LAMARTINE,26100,1,Maison,4,95.64
04525,26281,6,,RUE,DESCARTES,26100,2,Appartement,3,56.42
30799,26362,125,,AV,MAURICE FAURE,26000,2,Appartement,3,68.11
25338,27016,5000,,RES,SABRINA,27700,2,Appartement,1,32.5
06103,27165,4,,PL,CARNOT,27190,1,Maison,4,22.8
23597,28085,100,,RUE,SAINT BRICE,28000,2,Appartement,3,73.73
18347,28227,38,,RUE,DU FAUBOURG LARUE,28130,2,Appartement,2,43.26
21379,28359,8,,AV,DU GEN LECLERC,28380,1,Maison,3,74.15
14563,29151,10,,RUE,DE PARIS,29600,2,Appartement,3,58.05
32607,29188,5486,,RES,DE LA BAIE,29630,2,Appartement,1,42.16
11403,2A004,9049,,RTE,SAINT JOSEPH,20090,2,Appartement,3,80.8
17484,2A004,5,,RUE,DOC DELL PELLEGRINO,20090,2,Appartement,3,78.2
30700,2A004,9002,,AV,PRESIDENT KENNEDY,20090,2,Appartement,2,42.02
10861,2A130,5400,,VGE,DE TERRA BELLA,20166,2,Appartement,2,31.59
05264,30133,199,,AV,JEAN JAURES,30240,2,Appartement,2,32.63
13540,30189,24,,RUE,ANTOINE JOSEPH BENEDITTINI,30900,1,Maison,4,89.79
20164,30189,24,,RUE,DE LA BICHE,30000,2,Appartement,3,56.11
28161,30189,15,,RUE,MENARD,30000,2,Appartement,3,68.23
12976,30189,1,,RUE,EMILE ZOLA,30900,2,Appartement,3,82.35
03619,30202,12,A,AV,KENNEDY,30130,2,Appartement,4,65.94
29410,30258,30,,RUE,DU TEMPLE,30800,2,Appartement,2,43.93
10604,31116,9,,RUE,DES VIGNES,31780,2,Appartement,3,62.27
10774,31555,13,B,RUE,EUGENE LOZES,31500,2,Appartement,5,122.89
05413,31555,54,,RUE,BAYARD,31000,2,Appartement,1,33.5
31349,33009,9,,RUE,SULLY MELENDES,33120,2,Appartement,2,36.52
00462,33051,2,,ALL,MAURICE LAFON,33380,2,Appartement,2,41
29703,33063,76,,RUE,DES MENUTS,33000,2,Appartement,2,52.27
04611,33063,8,,RUE,SAINT JAMES,33000,2,Appartement,2,59.08
33438,33063,179,,RUE,SAINTE CATHERINE,33000,2,Appartement,5,120.07
33385,33063,13,,RUE,LEO DROUYN,33000,2,Appartement,5,126.24
04048,33063,16,,PL,PEY BERLAND,33000,2,Appartement,1,96.42
32070,33063,36,,RUE,POUJEAU,33200,2,Appartement,5,102.23
23432,33075,150,,AV,JEAN JAURES,33520,2,Appartement,3,60
25301,33162,25,,AV,DE PICOT,33320,2,Appartement,2,32.42
09812,33203,9001,,RES,BABORD,33990,2,Appartement,2,25.33
20264,33234,3,,CHE,DE L ESTEY,33360,2,Appartement,1,33.3
07786,33243,2,,RUE,TOULOUSE LAUTREC,33500,2,Appartement,3,59.27
12369,33281,125,,AV,DES EYQUEMS,33700,2,Appartement,3,70.34
09949,33318,9001,,RES,LA COUR CARREE,33600,2,Appartement,4,82
19698,33529,10,,AV,LOUIS GAUME PYLA,33115,2,Appartement,3,70.22
23849,33529,10,,AV,LOUIS GAUME PYLA,33115,2,Appartement,3,124.92
10670,33550,10,,RUE,DU LEVANT,33140,2,Appartement,4,64.82
31511,34003,7,,RUE,DE VOLVIRE DE BRASSAC,34300,1,Maison,2,31.79
16600,34079,1,,RUE,HAUTE DU PIOCH,34800,2,Appartement,1,32.93
08086,34079,94,,RUE,FRANCOISE GIROUD,34800,2,Appartement,2,30.53
26581,34172,636,,AV,DU PROF EMILE JEANBRAU,34090,2,Appartement,2,47.72
05206,34172,220,,RUE,LE TINTORET,34000,2,Appartement,3,65.62
06039,34301,3,,QUAI,LOUIS PASTEUR,34200,2,Appartement,3,70.09
02317,34301,8,,RUE,RAYMOND LEFEVRE,34200,2,Appartement,3,61.71
02709,34301,131,,RTE,DES QUATRE CHANSONS,34200,2,Appartement,3,137.87
27013,35238,2,,AV,GROS MALHON,35000,2,Appartement,1,18.03
33178,35238,3,B,RUE,ROGER HENRI GUERRAND,35000,2,Appartement,3,106.1
02795,35238,8,,CRS,PRESIDENT JF KENNEDY,35000,2,Appartement,4,76.57
